No,Kode,"Bank Kustodian",Alamat,Telepon,Fax,NPWP
1,BCA01,"Bank Central Asia Tbk, PT","Komplek Perkantoran Landmark Pluit Blok A No. 8 Lantai 6 Jl. Pluit Selatan Raya No. 2, Penjaringan Jakarta Utara 14440",05209065,05209059,0013084496091000
2,BNGA1,"Bank Cimb Niaga Tbk, PT","Graha Niaga Lt 7 Jl. Jend Sudirman Kav 58 Jakarta Selatan 12190",025989009;025989009;025989009,02505189;02505189;02505189,0013106687091000
3,BDMN2,"Bank Danamon Indonesia Tbk, PT","Menara Bank Danamon Lt. 8 Jl. Hr Rasuna Said Blok C No.10, Kel. Karet, Kec. Setiabudi, Kuningan Jakarta 12940",02180645000;02180645000;02180645000;02180645000;02180645000,--,0013084702091000
4,BMAN1,"Bank Mandiri, PT - Custody","Plaza Mandiri Lt. 22 Jl Jend Gatot Subroto Kav 52-53 Jakarta Selatan 12190",021-5265045;05265095,05275858;05263602,0010611739093000
5,MEGA3,"Bank Mega Tbk, PT","Menara Bank Mega Jl. Kapten Tendean 12-14a, Lt. 16 Other 12970",0791-575000,07990720,0011080454091000
6,BNI01,"Bank Negara Indonesia (Persero), Tbk","Gedung Bni Bsd Lantai 14. Cbd Bsd City Lot I No. 5 Jl. Pahlawan Seribu, Lengkong Gudang, Serpong Tangerang Selatan 15310",021-25541220;021-25541220;021-25541220,021-29411502;021-29411502,0010016061093000
7,PANIN,"Bank Pan Indonesia Tbk","Panin Bank Center Lt 11 Jl. Jend. Sudirman Kav. I Senayan Jakarta Pusat 10270",021-2700545,021-5744356,0013121660091000
8,BRI01,"Bank Rakyat Indonesia (Persero), PT","Gedung Bri Ii Lantai 30 Jl. Jenderal Sudirman No. 44-46 Jakarta Pusat 10210",&nbsp;,--,0010016087093000
9,DBJK1,"But Deutsche Bank Ag","Jl. Imam Bonjol No. 80 Menteng Jakarta Pusat  Jakarta Pusat 10310",0296-44111;0296-44108;0296-44109,0296-44131;0296-44130,0010011146091000
10,SCBJK,"But. Standard Chartered Bank","Menara Standard Chartered, Lt. 5 Jl. Prof. Dr. Satrio No. 164 Other 12930",021-25550200;0255-50225,021-5719671;05719672,0010003358091000
11,CITI1,"Citibank, N. A","Gedung South Quarter, Tower B Lantai 3 Jl. R.A. Kartini Kav. 8, Cilandak Barat Jakarta Selatan 12430",0529-08956;08023,0529-08600,0010011161091000
12,DBSI1,"PT Bank DBS Indonesia","Ged Dbs Bank Tower Lt. 37, Ciputra World 1 Jakarta Jl. Prof. Dr. Satrio Kav 3-5, Karet Kuningan Setiabudi Jakarta Selatan 12940",&nbsp;,--,0013429402091000
13,HSBC1,"PT Bank Hsbc Indonesia","World Trade Centre 3, 8th Floor Jl. Jend. Sudirman Kav. 29-31 Jakarta Selatan 12920",021-5246452;021-25545800;021-5246452,021-5211043;021-29229632;021-5211043,0013862420091000
14,BINA3,"PT Bank Ina Perdana Tbk","Gedunq Ariobimo Lt Mezzanine Jl.H.R Rasuna Said Blok X-2 Kav 5 Jakarta Selatan 12950",&nbsp;,0212525117;0212525117,0013556402054000
15,BBKP2,"PT Bank Kb Bukopin Tbk","Ged. Oil Center, Lt. Ground Jl. Mh. Thamrin Kav. 55 Jakarta Pusat 10350",021-31900612,021-31900624,0013676051091000
16,BII01,"PT Bank Maybank Indonesia Tbk","Sentral Senayan Iii Lt. 5 Jl Asia Afrika No. 8, Gelora Bung Karno, Senayan Jakarta Pusat 10270",03161024;03929009347328,021-2302095,0013093232091000
17,OCBC1,"PT Bank Ocbc Nisp Tbk","Gedung Onspace Lantai 2 Jln. Blok Commercial Ice Lot. 9 Pagedangan Tangerang ",&nbsp;,--,0011049194091000
18,BJTG2,"PT Bank Pembangunan Daerah Jawa Tengah","Jalan Pemuda Nomor 142  Semarang 50132",0243547541;0243547541;0243547541,--,0011071495511000
19,BJTM2,"PT Bank Pembangunan Daerah Jawa Timur Tbk.","Jl. Basuki Rakhmad 98 - 104 Embong Kaliasin, Genteng Surabaya 60271",031531009099;031531009099;031531009099;031531009099,0315310838;0315310838;0315310838;0315310838,0011101169054000
20,BTPN3,"PT Bank Smbc Indonesia Tbk","Menara Btpn Lantai 11,18,19,20,21,22,23,24,25,26,27,28,29,30 Jalan Dr Ide Anak Agung Gde Agung Kav. 5.5 - 5.6 Jakarta Selatan 12950",02130026200;02130026200;02130026200,02130026101;02130026101;02130026101,0011397973091000
21,BSM01,"PT Bank Syariah Indonesia Tbk","Gedung The Tower Jl. Gatot Subroto No. 27 Jakarta Pusat ",0212300509;0212300509;0212300509;0212300509,02139832932;02139832932;02139832932;02139832932,0011050945093000
22,BTN01,"PT Bank Tabungan Negara (Persero), Tbk","Menara 2 Btn Lantai 8 Jl. H.R. Rasuna Said No.1 Rt.1/Rw.6 Jakarta Selatan 12980",02129069999,02129069998,0010016095093000
23,UOBB1,"PT Bank Uob Indonesia","Uob Plaza Tower Jl. Mh Thamrin No.10 Jakarta Pusat 10230",0235-06000,017;021-29936616,0013084439091000
24,KHANA,"PT. Bank Keb Hana Indonesia","Mangkuluhur City Tower I Lantai Gf, Mezzanine 2, 9, 10, 11, 12, 15, 16 Jl. Jend. Gatot Subroto Kav. 1-3 Rt. 003 Rw. 004 Jakarta Selatan 12930",&nbsp;,--,0013040837038000
25,BBMI3,"PT. Bank Muamalat Indonesia","Jl. Prof. Dr. Satrio Kav. 18,  Kuningan, Setiabudi  Jakarta Selatan 12940",&nbsp;,--,0015674898073000
26,BJB01,"PT. Bank Pembangunan Daerah Jawa Barat Dan Banten Tbk","Menara Taspen, Lantai 1 Jl. Jend. Sudirman Kav. 2 Jakarta Pusat 10220",021-2511448;0449,021-2511508,0011186053054000
27,BALI1,"PT. Bank Permata, Tbk","Permata Bank Tower 3 Jl. Mh Thamrin Blok B1, No. 1, Pusat Kawasan Niaga Bintaro Jaya Sektor Vii Tangerang 15224",021-7455888;021-7455888,021-74863566;03221,0013084645091000
28,BSIM2,"PT. Bank Sinarmas Tbk","Sinar Mas Land Plaza Tower I Lt. 1-2 Jl. Mh. Thamrin No. 51 Jakarta Pusat 10350",02131990101;02131990101,--,0013446133054000
