000D4C,REKSA DANA SAM SYARIAH BERIMBANG,"Samuel Aset Manajemen, PT",mixed_asset_fund
000D4D,REKSA DANA SAM SUKUK SYARIAH SEJAHTERA,"Samuel Aset Manajemen, PT",fixed_income_fund
000D4H,Reksa Dana SAM Dana Kas,"Samuel Aset Manajemen, PT",money_market_fund
000D4J,Reksa Dana SAM Providentia Balanced Fund,"Samuel Aset Manajemen, PT",mixed_asset_fund
000D7K,REKSA DANA DANAREKSA PENDAPATAN PRIMA PLUS,PT BRI Manajemen Investasi,fixed_income_fund
000D7S,REKSA DANA DANAREKSA MAWAR EKUITAS PLUS,PT BRI Manajemen Investasi,equity_fund
000D8Y,Reksa Dana Simas Saham Andalan,"Sinarmas Asset Management, PT",equity_fund
006600829471,Reksa Dana Schroder Dana Istimewa,"Schroder Investment Management Indonesia, PT",equity_fund
006600829472,Reksa Dana Schroder Dana Kombinasi,"Schroder Investment Management Indonesia, PT",mixed_asset_fund
0084616,REKSA DANA PRINCIPAL CASH FUND,Principal Asset Management,money_market_fund
0084699,Reksa Dana Shinhan Equity Growth,"Shinhan Asset Management Indonesia, PT",equity_fund
0084756,Reksa Dana Shinhan Balance Fund,"Shinhan Asset Management Indonesia, PT",mixed_asset_fund
0084962,PNM SAHAM AGRESIF,"PNM Investment Management, PT",equity_fund
0085456,REKSA DANA MANDIRI INVESTA DANA UTAMA,"Mandiri Manajemen Investasi, PT",fixed_income_fund
0085480,REKSA DANA PRINCIPAL ISLAMIC EQUITY GROWTH SYARIAH,Principal Asset Management,equity_fund
0085860,REKSA DANA PANIN DANA UTAMA PLUS 2,"Panin Asset Management, PT",fixed_income_fund
0087742,REKSA DANA PRINCIPAL BALANCED STRATEGIC PLUS,Principal Asset Management,mixed_asset_fund
0087767,Narada Saham Indonesia,"Narada Aset Manajemen, PT",equity_fund
0088309,Phillip Prime Equity,"Phillip Asset Management, PT",equity_fund
0088336,Avrist Equity Amar Syariah,"Avrist Asset Management, PT",equity_fund
0088344,Avrist Balanced Amar Syariah,"Avrist Asset Management, PT",mixed_asset_fund
